bfs_number,name,canton_code
4001,Aarau,AG
4271,Aarburg,AG
4221,Abtwil,AG
4191,Ammerswil,AG
4222,Aristau,AG
4061,"Arni (AG)",AG
4091,Auenstein,AG
4223,Auw,AG
4021,Baden,AG
4224,"Beinwil (Freiamt)",AG
4131,"Beinwil am See",AG
4022,Bellikon,AG
4023,Bergdietikon,AG
4062,Berikon,AG
4226,Besenbüren,AG
4227,Bettwil,AG
4002,Biberstein,AG
4024,"Birmenstorf (AG)",AG
4092,Birr,AG
4093,Birrhard,AG
4132,Birrwil,AG
4192,Boniswil,AG
4228,Boswil,AG
4273,Bottenwil,AG
4303,Böttstein,AG
4124,Bözberg,AG
4185,Böztal,AG
4063,"Bremgarten (AG)",AG
4274,Brittnau,AG
4095,Brugg,AG
4193,Brunegg,AG
4003,"Buchs (AG)",AG
4229,Bünzen,AG
4064,Büttikon,AG
4230,Buttwil,AG
4004,Densbüren,AG
4231,Dietwil,AG
4194,Dintikon,AG
4065,Dottikon,AG
4304,Döttingen,AG
4134,Dürrenäsch,AG
4066,Eggenwil,AG
4195,Egliswil,AG
4049,Ehrendingen,AG
4161,Eiken,AG
4305,Endingen,AG
4026,Ennetbaden,AG
4005,"Erlinsbach (AG)",AG
4196,Fahrwangen,AG
4067,Fischbach-Göslikon,AG
4306,Fisibach,AG
4027,Fislisbach,AG
4028,Freienwil,AG
4163,Frick,AG
4307,Full-Reuenthal,AG
4164,Gansingen,AG
4029,Gebenstorf,AG
4232,Geltwil,AG
4165,Gipf-Oberfrick,AG
4135,Gontenschwil,AG
4006,Gränichen,AG
4099,Habsburg,AG
4068,Hägglingen,AG
4197,Hallwil,AG
4100,"Hausen (AG)",AG
4251,Hellikon,AG
4198,Hendschiken,AG
4186,Herznach-Ueken,AG
4007,Hirschthal,AG
4199,"Holderbank (AG)",AG
4136,Holziken,AG
4200,Hunzenschwil,AG
4084,Islisberg,AG
4071,Jonen,AG
4252,Kaiseraugst,AG
4169,Kaisten,AG
4233,Kallern,AG
4030,Killwangen,AG
4275,Kirchleerau,AG
4309,Klingnau,AG
4310,Koblenz,AG
4276,Kölliken,AG
4031,Künten,AG
4008,Küttigen,AG
4170,Laufenburg,AG
4311,Leibstadt,AG
4137,"Leimbach (AG)",AG
4312,"Lengnau (AG)",AG
4201,Lenzburg,AG
